customer_id,transaction_date,monetary_value
C0068,2023-05-29,54.29
C0068,2023-08-09,80.7
C0068,2023-10-22,111.48
C0068,2023-12-11,18.74
C0068,2023-12-18,129.4
C0069,2023-04-08,43.78
C0069,2023-04-18,84.27
C0069,2023-05-30,70.18
C0069,2023-06-09,71.87
C0069,2023-07-21,79.56
C0069,2023-08-16,14.95
C0069,2023-12-13,72.84
C0070,2023-09-10,57.21
C0070,2023-11-25,70.47
C0071,2023-04-11,141.86
C0072,2023-07-01,43.23
C0073,2023-08-07,79.89
C0073,2023-11-15,29.99
C0073,2023-11-25,90.24
C0074,2023-05-10,55.56
C0074,2023-06-04,134.24
C0074,2023-10-09,91.94
C0074,2023-12-16,71.05
C0075,2023-01-12,256.26
C0075,2023-01-19,60.85
C0075,2023-03-20,63.47
C0075,2023-04-06,178.75
C0075,2023-08-06,101.53
C0075,2023-09-25,43.19
C0076,2023-01-02,75.09
C0076,2023-02-07,100.57
C0076,2023-04-25,139.94
C0076,2023-10-16,66.77
C0076,2023-10-22,65.5
C0076,2023-12-18,53.27
C0077,2023-08-03,70.54
C0077,2023-12-31,11.28
C0078,2023-04-19,53.42
C0078,2023-06-23,20.6
C0078,2023-11-05,89.73
C0078,2023-11-11,28.98
C0078,2023-12-04,139.34
C0078,2023-12-11,84.97
C0078,2023-12-21,11.6
C0079,2023-06-05,55.84
C0079,2023-07-09,119.64
C0080,2023-07-13,135.36
C0080,2023-11-16,39.25
C0080,2023-12-09,114.67
C0081,2023-02-03,79.87
C0081,2023-05-03,12.58
C0082,2023-01-16,52.64
C0082,2023-03-27,63.48
C0083,2023-02-02,75.9
C0083,2023-03-21,229.64
C0083,2023-10-15,39.87
C0083,2023-12-13,131.36
C0084,2023-01-18,166.08
C0084,2023-05-21,90.51
C0085,2023-12-05,49.87
C0086,2023-01-13,25.73
C0086,2023-06-19,59.3
C0086,2023-08-16,128.46
C0086,2023-09-30,41.79
C0086,2023-11-24,63.64
C0086,2023-12-30,90.04
C0087,2023-05-17,56.53
C0087,2023-05-30,63.55
C0088,2023-01-23,180.81
C0088,2023-02-09,113.87
C0088,2023-11-23,66.6
C0088,2023-12-28,126.94
C0089,2023-02-27,71.03
C0089,2023-03-31,25.84
C0089,2023-11-13,37.42
C0090,2023-02-27,57.9
C0090,2023-10-02,71.7
C0090,2023-11-18,82.68
C0091,2023-01-31,49.13
C0091,2023-03-12,55.71
C0091,2023-04-05,73.74
C0091,2023-04-30,132.73
C0091,2023-07-24,55.11
C0092,2023-01-25,50.25
C0092,2023-02-07,73.02
C0092,2023-04-20,46.02
C0092,2023-09-09,70.81
C0092,2023-12-09,82.6
C0093,2023-05-16,44.44
C0093,2023-10-26,99.79
C0093,2023-10-27,62.9
C0094,2023-01-31,98.15
C0094,2023-03-22,60.72
C0094,2023-04-10,38.98
C0094,2023-08-27,54.92
C0094,2023-09-06,81.82
C0094,2023-09-11,23.92
C0094,2023-10-18,151.87
C0095,2023-03-09,87.5
C0095,2023-10-09,95.69
C0095,2023-10-11,137.24
C0095,2023-11-14,89.2
C0096,2023-08-10,82.51
C0097,2023-01-24,17.22
C0097,2023-04-09,53.52
C0097,2023-08-01,63.89
C0097,2023-10-19,246.7
C0098,2023-09-22,45.47
C0098,2023-10-01,72.46
C0098,2023-10-04,32.48
C0098,2023-11-28,41.63
C0098,2023-12-14,26.38
C0099,2023-07-08,54.68
C0100,2023-03-15,39.3
C0100,2023-04-28,81.81
C0100,2023-05-11,71.04
C0100,2023-12-23,172.82
C0101,2023-09-16,147.21
C0102,2023-08-17,51.29
C0102,2023-10-13,240.43
C0103,2023-01-30,29.26
C0103,2023-06-15,44.32
C0103,2023-07-12,303.52
C0103,2023-08-23,60.83
C0103,2023-09-25,26.83
C0103,2023-10-26,93.24
C0104,2023-03-05,111.72
C0104,2023-03-16,105.16
C0104,2023-06-01,259.96
C0104,2023-08-18,84.96
C0104,2023-11-03,157.06
C0104,2023-11-05,167.69
C0104,2023-12-17,23.34
C0105,2023-02-18,17.79
C0105,2023-03-07,63.88
C0105,2023-09-19,131.76
C0105,2023-09-25,105.38
C0105,2023-11-28,50.27
C0106,2023-01-04,27.03
C0106,2023-11-10,16.52
C0107,2023-01-27,159.96
C0107,2023-03-03,156.35
C0107,2023-03-28,110.24
C0107,2023-05-04,51.81
C0107,2023-06-07,206.6
C0107,2023-07-09,121.94
C0107,2023-10-30,76.13
C0108,2023-02-14,24.24
C0108,2023-12-27,96.93
C0109,2023-07-05,114.44
C0110,2023-02-15,81.53
C0110,2023-02-18,49.09
C0110,2023-02-22,47.9
C0110,2023-05-06,107.43
C0110,2023-07-10,24.66
C0110,2023-07-14,73.46
C0110,2023-12-10,72.65
C0111,2023-09-09,28.11
C0112,2023-02-28,99.21
C0112,2023-05-08,51.32
C0112,2023-07-30,74.54
C0112,2023-08-09,135.36
C0112,2023-09-01,100.73
C0113,2023-10-06,140.21
C0113,2023-10-19,54.13
C0114,2023-04-30,143.8
C0115,2023-03-28,163.23
C0115,2023-05-22,167.81
C0115,2023-06-13,120.57
C0116,2023-07-17,16.31
C0116,2023-11-06,72.85
C0116,2023-12-14,166.35
C0117,2023-01-03,80.44
C0117,2023-01-07,54.47
C0117,2023-03-13,83.9
C0118,2023-03-02,90.91
C0118,2023-03-13,74.57
C0118,2023-06-24,76.89
C0118,2023-07-10,46.04
C0118,2023-08-14,69.12
C0119,2023-02-09,142.03
C0119,2023-03-08,148.3
C0119,2023-07-11,61.74
C0119,2023-09-16,88.15
C0120,2023-03-05,71.34
C0120,2023-05-12,80.01
C0120,2023-07-08,157.05
C0120,2023-08-05,100.64
C0120,2023-08-25,87.37
C0120,2023-10-17,43.01
C0121,2023-02-04,86.01
C0121,2023-03-03,135.46
C0121,2023-03-21,166.27
C0121,2023-09-26,153.1
C0121,2023-11-11,85.08
C0122,2023-01-06,36.51
C0122,2023-05-05,72.76
C0122,2023-06-12,76.75
C0122,2023-08-09,16.29
C0122,2023-09-22,162.79
C0122,2023-10-26,29.5
C0123,2023-03-27,206.9
C0123,2023-07-17,10.73
C0123,2023-10-20,82.96
C0123,2023-11-18,170.37
C0124,2023-03-05,85.31
C0124,2023-03-15,162.99
C0124,2023-07-15,52.37
C0124,2023-07-25,44.16
C0124,2023-09-09,68.28
C0124,2023-12-16,105.89
C0125,2023-02-28,39.29
C0125,2023-04-04,25.71
C0125,2023-07-04,67.69
C0125,2023-08-11,16.66
C0125,2023-10-15,86.91
C0125,2023-11-12,44.28
C0126,2023-02-12,114.62
C0126,2023-03-18,53.01
C0126,2023-10-26,39.74
C0126,2023-12-06,119.39
C0127,2023-02-26,68.93
C0127,2023-03-23,92.25
C0128,2023-06-27,65.46
C0128,2023-08-10,22.58
C0128,2023-10-07,41.63
C0128,2023-11-11,57.09
C0128,2023-12-03,67.53
C0129,2023-02-08,91.31
C0129,2023-04-24,91.89
C0129,2023-06-10,23.22
C0129,2023-07-04,39.09
C0130,2023-01-28,62.27
C0130,2023-03-04,36.59
C0130,2023-04-19,43.26
C0130,2023-06-07,23.4
C0130,2023-08-15,96.75
C0131,2023-02-17,21.4
C0131,2023-06-05,55.57
C0131,2023-07-12,91.96
C0131,2023-08-16,104.62
C0131,2023-11-20,42.72
C0132,2023-03-11,4.59
C0132,2023-04-29,20.96
C0132,2023-08-01,36.82
C0132,2023-08-14,39.14
C0132,2023-08-18,46.79
C0132,2023-09-06,103.0
C0132,2023-11-01,24.22
C0133,2023-06-17,129.62
C0133,2023-10-14,27.01
C0133,2023-10-15,61.18
C0133,2023-11-22,114.76
C0133,2023-12-15,77.99
C0134,2023-02-08,107.08
C0134,2023-06-14,106.69
C0134,2023-11-19,135.69
C0134,2023-12-27,65.44
C0135,2023-02-05,43.86
C0135,2023-03-05,36.23
C0135,2023-03-09,112.09
C0135,2023-04-19,95.67
C0135,2023-05-08,141.79
C0135,2023-08-30,78.22
C0135,2023-10-10,32.09
C0136,2023-06-24,36.25
C0136,2023-11-23,49.97
C0137,2023-02-16,92.82
C0137,2023-08-01,56.15
C0137,2023-08-28,14.5
C0137,2023-10-01,45.89
C0137,2023-10-24,51.43
C0138,2023-04-15,109.44
C0138,2023-10-25,35.28
C0138,2023-11-05,112.67
C0138,2023-11-11,103.13
C0138,2023-12-02,80.5
C0139,2023-02-03,66.35
C0139,2023-02-09,48.01
C0139,2023-09-08,31.7
C0139,2023-09-23,98.72
C0139,2023-12-19,151.21
C0140,2023-01-04,108.88
C0140,2023-02-28,32.06
C0140,2023-06-18,140.08
C0140,2023-08-21,48.06
C0140,2023-10-05,102.25
C0140,2023-11-15,152.08
C0141,2023-07-11,105.51
C0141,2023-07-16,128.21
C0141,2023-10-31,75.77
C0141,2023-11-03,134.46
C0141,2023-11-06,96.35
C0142,2023-01-02,73.33
C0142,2023-05-10,34.64
C0142,2023-05-31,70.75
C0142,2023-08-15,39.11
C0142,2023-09-11,166.89
C0142,2023-10-17,117.04
C0143,2023-02-24,92.62
C0143,2023-04-28,45.54
C0143,2023-08-21,82.29
C0143,2023-09-11,42.64
C0144,2023-08-07,73.75
C0145,2023-03-07,93.94
C0145,2023-07-01,79.36
C0145,2023-09-08,21.19
C0145,2023-12-28,102.14
C0146,2023-04-05,170.62
C0146,2023-04-20,90.42
C0146,2023-06-06,44.2
C0146,2023-07-09,63.79
C0146,2023-11-15,178.87
C0146,2023-12-10,41.87
C0147,2023-01-05,87.98
C0147,2023-05-26,31.32
C0147,2023-06-22,31.33
C0147,2023-12-03,28.29
C0148,2023-01-13,11.5
C0148,2023-01-23,14.1
C0148,2023-01-24,29.39
C0148,2023-02-20,76.53
C0148,2023-06-27,68.93
C0148,2023-11-27,60.28
C0149,2023-06-30,41.81
C0150,2023-03-14,16.58
C0150,2023-06-19,131.19
C0150,2023-07-26,37.66
C0150,2023-08-27,35.38
C0150,2023-12-21,29.67
C0151,2023-07-18,67.76
C0151,2023-10-16,22.01
C0152,2023-03-02,92.53
C0152,2023-12-12,47.14
C0153,2023-02-10,64.4
C0153,2023-04-17,152.93
C0153,2023-05-10,162.94
C0153,2023-10-01,77.9
C0153,2023-10-15,82.11
C0154,2023-01-10,34.59
C0154,2023-01-24,68.75
C0154,2023-03-29,112.2
C0154,2023-06-14,122.48
C0154,2023-10-09,89.97
C0154,2023-12-26,13.04
C0155,2023-03-13,74.27
C0155,2023-04-11,3.43
C0155,2023-04-25,124.17
C0155,2023-08-23,17.48
C0156,2023-02-21,140.8
C0156,2023-03-15,79.07
C0156,2023-12-25,104.72
C0157,2023-02-12,28.59
C0157,2023-04-27,63.21
C0157,2023-09-28,33.88
C0157,2023-11-09,82.41
C0157,2023-12-20,44.5
C0157,2023-12-27,23.79
C0158,2023-10-26,181.98
C0159,2023-04-25,81.75
C0159,2023-08-26,71.11
C0159,2023-11-25,70.11
C0160,2023-02-06,39.91
C0160,2023-02-21,10.26
C0160,2023-03-29,18.36
C0160,2023-10-29,136.85
C0161,2023-01-02,88.02
C0161,2023-01-12,29.91
C0161,2023-02-08,55.59
C0161,2023-04-03,42.13
C0161,2023-04-25,42.13
C0161,2023-09-06,56.87
C0161,2023-09-27,81.33
C0162,2023-10-15,75.21
C0163,2023-08-26,17.57
C0163,2023-11-16,20.13
C0164,2023-01-16,55.69
C0164,2023-02-10,85.46
C0164,2023-05-19,74.04
C0164,2023-06-04,80.03
C0164,2023-09-28,112.67
C0164,2023-12-23,44.4
C0165,2023-01-17,108.97
C0165,2023-01-25,43.52
C0165,2023-02-13,98.46
C0165,2023-03-21,158.49
C0165,2023-04-07,50.47
C0165,2023-07-27,106.77
C0166,2023-01-13,37.68
C0166,2023-01-29,66.61
C0166,2023-03-29,77.43
C0166,2023-08-01,97.67
C0166,2023-10-18,98.33
C0166,2023-11-09,270.56
C0166,2023-12-30,154.24
C0167,2023-03-02,50.66
C0167,2023-03-04,150.97
C0168,2023-02-08,53.73
C0168,2023-05-21,227.72
C0168,2023-06-27,69.84
C0168,2023-07-07,47.46
C0168,2023-08-08,8.13
C0168,2023-08-27,55.75
C0168,2023-12-13,9.77
C0169,2023-01-19,79.06
C0169,2023-06-23,78.6
C0169,2023-07-16,19.68
C0169,2023-08-04,51.99
C0169,2023-11-08,108.93
C0170,2023-02-11,42.54
C0171,2023-01-11,154.75
C0171,2023-01-17,38.44
C0171,2023-03-02,109.69
C0171,2023-06-14,25.92
C0171,2023-07-29,107.77
C0171,2023-09-04,91.61
C0171,2023-12-06,108.27
C0172,2023-02-14,24.99
C0172,2023-05-15,55.57
C0172,2023-06-02,40.31
C0172,2023-10-02,27.76
C0173,2023-02-20,149.33
C0173,2023-07-03,52.58
C0174,2023-01-05,51.97
C0174,2023-01-25,59.49
C0174,2023-02-21,12.28
C0174,2023-07-14,72.32
C0174,2023-11-26,29.36
C0175,2023-01-25,123.13
C0176,2023-04-11,51.29
C0176,2023-04-22,13.21
C0176,2023-06-12,38.94
C0176,2023-10-15,163.17
C0176,2023-10-19,105.86
C0177,2023-02-22,141.73
C0177,2023-05-07,148.16
C0177,2023-06-07,15.4
C0177,2023-11-21,35.51
C0178,2023-07-31,31.75
C0178,2023-11-04,71.47
C0179,2023-01-11,27.57
C0179,2023-01-12,50.3
C0179,2023-01-15,13.45
C0179,2023-05-21,50.55
C0179,2023-07-04,60.96
C0179,2023-12-18,75.64
C0180,2023-02-02,264.37
C0180,2023-02-25,13.43
C0180,2023-07-19,47.68
C0180,2023-08-10,121.24
C0181,2023-01-22,10.92
C0181,2023-05-05,103.94
C0182,2023-02-24,101.68
C0182,2023-03-17,110.54
C0182,2023-10-26,56.97
C0183,2023-02-18,151.58
C0183,2023-09-17,15.31
C0183,2023-11-08,129.61
C0183,2023-11-28,80.53
C0184,2023-01-13,166.73
C0184,2023-06-20,75.07
C0184,2023-12-13,50.86
C0184,2023-12-20,340.67
C0185,2023-05-22,24.08
C0185,2023-05-29,85.09
C0185,2023-06-29,155.65
C0185,2023-07-06,131.27
C0185,2023-07-30,56.38
C0185,2023-11-12,59.21
C0185,2023-12-24,120.15
C0186,2023-01-12,125.62
C0186,2023-07-12,89.12
C0186,2023-08-19,71.42
C0186,2023-09-25,134.36
C0186,2023-10-06,19.9
C0186,2023-11-15,73.3
C0186,2023-12-06,71.63
C0187,2023-01-25,12.11
C0187,2023-01-29,74.88
C0187,2023-02-10,98.67
C0187,2023-05-08,115.81
C0187,2023-05-29,16.72
C0187,2023-05-29,36.8
C0187,2023-06-27,108.94
C0188,2023-01-13,56.81
C0188,2023-03-20,38.68
C0188,2023-03-22,94.33
C0188,2023-07-20,141.02
C0188,2023-11-04,57.11
C0189,2023-03-30,88.39
C0189,2023-09-18,89.97
C0190,2023-02-27,92.79
C0190,2023-05-27,107.87
C0190,2023-09-21,101.47
C0190,2023-11-18,115.34
C0190,2023-12-01,30.96
C0191,2023-02-07,243.01
C0191,2023-04-26,46.16
C0191,2023-05-12,111.76
C0191,2023-09-28,110.28
C0192,2023-01-16,59.12
C0192,2023-02-12,87.58
C0192,2023-07-26,113.62
C0192,2023-09-04,57.84
C0193,2023-04-19,74.21
C0193,2023-09-14,96.16
C0193,2023-12-14,133.97
C0194,2023-01-20,46.97
C0194,2023-03-18,152.55
C0194,2023-05-15,96.53
C0194,2023-05-15,26.56
C0194,2023-06-07,99.33
C0194,2023-06-17,28.23
C0194,2023-07-02,83.08
C0195,2023-01-20,32.75
C0195,2023-06-20,120.05
C0195,2023-09-07,90.62
C0195,2023-12-22,79.09
C0196,2023-01-08,40.8
C0196,2023-02-15,61.64
C0196,2023-05-04,65.67
C0196,2023-05-28,201.03
C0196,2023-05-31,75.03
C0196,2023-06-29,70.48
C0197,2023-01-28,160.09
C0197,2023-05-20,54.14
C0197,2023-07-30,23.1
C0198,2023-01-01,72.96
C0198,2023-04-20,76.38
C0198,2023-05-08,16.84
C0198,2023-05-16,34.85
C0198,2023-07-09,60.55
C0198,2023-08-24,16.09
C0198,2023-12-22,65.93
C0199,2023-03-16,75.73
C0199,2023-08-15,46.72
C0199,2023-09-22,111.15
C0199,2023-10-11,113.61
C0200,2023-04-05,67.71
C0200,2023-05-06,119.07
C0200,2023-12-01,61.7
C0201,2023-12-06,17.38
C0202,2023-12-16,64.31
C0203,2023-05-10,57.77
C0203,2023-07-19,22.53
C0203,2023-08-15,116.86
C0203,2023-10-05,63.04
C0203,2023-12-05,65.45
C0203,2023-12-13,73.51
C0203,2023-12-18,78.46
C0204,2023-04-05,35.13
C0204,2023-07-27,38.21
C0204,2023-12-25,72.18
C0205,2023-05-10,91.1
C0205,2023-09-12,59.77
C0205,2023-09-25,84.71
C0205,2023-10-30,91.26
C0206,2023-03-01,64.72
C0206,2023-07-26,161.27
C0206,2023-09-01,96.32
C0207,2023-01-17,56.26
C0207,2023-03-06,41.69
C0207,2023-10-22,104.71
C0208,2023-02-13,21.88
C0208,2023-04-16,16.8
C0208,2023-05-26,69.54
C0208,2023-08-30,94.56
C0209,2023-05-22,88.97
C0209,2023-06-01,98.57
C0209,2023-07-29,86.51
C0209,2023-11-06,33.8
C0210,2023-04-30,57.3
C0210,2023-06-06,72.96
C0210,2023-07-25,52.02
C0211,2023-03-09,126.9
C0211,2023-03-16,65.49
C0211,2023-05-02,101.64
C0211,2023-06-23,46.07
C0211,2023-07-01,117.13
C0211,2023-08-04,31.37
C0211,2023-11-09,85.51
C0212,2023-01-14,39.49
C0212,2023-02-16,66.52
C0212,2023-06-05,27.84
C0212,2023-10-07,27.88
C0213,2023-03-11,34.11
C0213,2023-04-24,32.15
C0213,2023-06-01,101.39
C0213,2023-08-11,37.15
C0213,2023-08-22,23.06
C0213,2023-09-25,13.52
C0213,2023-10-05,71.06
C0214,2023-05-13,32.13
C0214,2023-06-25,80.7
C0215,2023-05-15,75.7
C0215,2023-06-18,89.55
C0215,2023-07-05,109.53
C0215,2023-09-12,41.38
C0215,2023-09-18,86.4
C0215,2023-10-30,105.82
C0215,2023-12-07,64.75
C0216,2023-01-06,99.23
C0216,2023-02-15,67.41
C0216,2023-05-22,298.41
C0216,2023-07-04,6.82
C0216,2023-10-13,144.68
C0216,2023-10-19,85.4
C0216,2023-11-27,52.52
C0217,2023-04-16,100.1
C0217,2023-09-03,21.42
C0217,2023-10-18,50.02
C0217,2023-11-15,71.54
C0218,2023-03-11,120.52
C0218,2023-05-31,57.15
C0218,2023-12-08,39.56
C0219,2023-01-21,55.23
C0219,2023-05-02,50.37
C0219,2023-05-17,22.27
C0219,2023-08-23,31.05
C0219,2023-09-03,31.23
C0219,2023-12-11,66.46
C0220,2023-03-11,36.93
C0220,2023-03-16,72.97
C0220,2023-07-19,38.69
C0220,2023-07-22,107.19
C0220,2023-08-01,209.87
C0220,2023-12-24,25.44
C0221,2023-02-03,81.45
C0221,2023-04-19,132.98
C0221,2023-08-07,120.82
C0221,2023-08-16,98.46
C0222,2023-02-12,18.02
C0223,2023-03-15,123.08
C0223,2023-08-03,131.53
C0223,2023-09-26,18.12
C0223,2023-11-19,90.46
C0223,2023-12-11,128.36
C0224,2023-01-04,51.34
C0224,2023-02-03,16.76
C0224,2023-02-07,47.48
C0224,2023-06-08,65.7
C0224,2023-10-01,61.24
C0224,2023-12-23,107.58
C0225,2023-10-26,30.8
C0226,2023-01-06,173.1
C0226,2023-03-20,52.6
C0226,2023-04-01,84.73
C0226,2023-04-09,87.1
C0227,2023-04-03,118.43
C0227,2023-05-26,37.1
C0227,2023-07-07,42.06
C0227,2023-10-15,124.91
C0227,2023-12-27,48.15
C0228,2023-06-06,145.65
C0228,2023-06-11,43.63
C0228,2023-09-15,110.83
C0229,2023-01-11,39.33
C0229,2023-05-29,32.76
C0229,2023-06-21,103.3
C0229,2023-08-04,58.24
C0230,2023-03-09,106.52
C0231,2023-01-03,81.2
C0231,2023-06-12,16.45
C0231,2023-10-22,81.89
C0231,2023-12-04,70.01
C0232,2023-02-07,70.71
